,value
AUC_ROC,0.9292793177048065
AP_PR,0.8586604453520313
Accuracy,0.8523215381468603
F1,0.8212871287128712
Precision,0.7589204025617566
Recall,0.8948220064724919
Brier,0.10074981392274046
